accepted,artifacts,cell_id,cell_total_seconds,coefficients_changed,cold_parameters_exact,cold_render_max_abs,counts,image_id,iterations_run,lpips,method,ms_ssim,n_gaussians,noncolor_changed_fields,parent_field_sha256,parent_id,parent_optimizer_sha256,peak_allocated_bytes,peak_reserved_bytes,protected_metrics,psnr,raw_mse,reporting_metrics,rollback_reason,seed,selected_fraction,selected_iteration,smoke,status,target_sha256,total_seconds,transaction_seconds,worker_peak_rss_bytes
false,"{""config.json"":""cells/coco000000000009_s0_noop/config.json"",""curves.png"":""cells/coco000000000009_s0_noop/curves.png"",""decision"":""decision.json"",""error.png"":""cells/coco000000000009_s0_noop/error.png"",""field.npz"":""cells/coco000000000009_s0_noop/field.npz"",""history.json"":""cells/coco000000000009_s0_noop/history.json"",""input_field.npz"":""cells/coco000000000009_s0_noop/input_field.npz"",""occupancy"":""occupancy.json"",""parent_config.json"":""parents/coco000000000009_s0/config.json"",""parent_field.npz"":""parents/coco000000000009_s0/field.npz"",""parent_history.json"":""parents/coco000000000009_s0/history.json"",""parent_metrics.json"":""parents/coco000000000009_s0/metrics.json"",""parent_optimizer_state.pt"":""parents/coco000000000009_s0/optimizer_state.pt"",""parent_target.npy"":""parents/coco000000000009_s0/target.npy"",""reconstruction.npy"":""cells/coco000000000009_s0_noop/reconstruction.npy"",""reconstruction.png"":""cells/coco000000000009_s0_noop/reconstruction.png"",""request.json"":""cells/coco000000000009_s0_noop/request.json"",""target.png"":""cells/coco000000000009_s0_noop/target.png""}",coco000000000009_s0_noop,0.5455001829977846,false,true,4.172325134277344e-07,"{""basis_apply_calls"":0,""basis_denominator_passes"":0,""basis_transpose_calls"":0,""gaussian_renders"":1,""gradient_evaluations"":0,""quality_evaluations"":1,""raw_coverage_passes"":1}",9,0,0.19461943209171295,noop,0.9567102193832397,2000,[],cb6ab940dc00cb3a1a3f399120123071f16f8aef32ce249432d6a9a2da0a7af4,coco000000000009_s0,f8372e2088562f4268aec895dec8fe84a47a5da34e623dcff4a4c7fea9b8aee1,252531200,314572800,"{""boundary_hole_fraction"":0.0,""boundary_mse"":0.002236007945612073,""boundary_psnr_db"":26.5052665752562,""cvar99_mse"":0.06523604691028595,""finite"":true,""foreground_mse"":0.002236007945612073,""foreground_psnr_db"":26.5052665752562,""interior_hole_fraction"":0.006540934555232525,""n_gaussians"":2000,""outside_coverage_max"":0.0,""outside_max_abs"":0.0,""p99_mse"":0.03530733659863472}",26.50526676012816,0.0022360078504289243,"{""boundary_hole_fraction"":0.0,""boundary_mse"":0.002236007945612073,""boundary_psnr_db"":26.5052665752562,""cvar99_mse"":0.06523604691028595,""finite"":true,""foreground_mse"":0.002236007945612073,""foreground_psnr_db"":26.5052665752562,""interior_hole_fraction"":0.006540934555232525,""n_gaussians"":2000,""outside_coverage_max"":0.0,""outside_max_abs"":0.0,""p99_mse"":0.03530732914805412}",noop,0,0.0,0,false,ok,914d88f4f07f55c2f7ba0c473059119c5eb5ed5dfb83febfbe12856373654213,0.03297008600202389,0.03297008600202389,2101080064
true,"{""config.json"":""cells/coco000000000009_s0_legacy_cg32/config.json"",""curves.png"":""cells/coco000000000009_s0_legacy_cg32/curves.png"",""decision"":""decision.json"",""error.png"":""cells/coco000000000009_s0_legacy_cg32/error.png"",""field.npz"":""cells/coco000000000009_s0_legacy_cg32/field.npz"",""history.json"":""cells/coco000000000009_s0_legacy_cg32/history.json"",""input_field.npz"":""cells/coco000000000009_s0_legacy_cg32/input_field.npz"",""occupancy"":""occupancy.json"",""parent_config.json"":""parents/coco000000000009_s0/config.json"",""parent_field.npz"":""parents/coco000000000009_s0/field.npz"",""parent_history.json"":""parents/coco000000000009_s0/history.json"",""parent_metrics.json"":""parents/coco000000000009_s0/metrics.json"",""parent_optimizer_state.pt"":""parents/coco000000000009_s0/optimizer_state.pt"",""parent_target.npy"":""parents/coco000000000009_s0/target.npy"",""reconstruction.npy"":""cells/coco000000000009_s0_legacy_cg32/reconstruction.npy"",""reconstruction.png"":""cells/coco000000000009_s0_legacy_cg32/reconstruction.png"",""request.json"":""cells/coco000000000009_s0_legacy_cg32/request.json"",""target.png"":""cells/coco000000000009_s0_legacy_cg32/target.png""}",coco000000000009_s0_legacy_cg32,2.778916563001985,true,true,5.364418029785156e-07,"{""basis_apply_calls"":33,""basis_denominator_passes"":1,""basis_transpose_calls"":34,""gaussian_renders"":2,""gradient_evaluations"":0,""quality_evaluations"":2,""raw_coverage_passes"":2}",9,0,0.19454149901866913,legacy_cg32,0.9569918513298035,2000,[],cb6ab940dc00cb3a1a3f399120123071f16f8aef32ce249432d6a9a2da0a7af4,coco000000000009_s0,f8372e2088562f4268aec895dec8fe84a47a5da34e623dcff4a4c7fea9b8aee1,284822528,394264576,"{""boundary_hole_fraction"":0.0,""boundary_mse"":0.0022290388587862253,""boundary_psnr_db"":26.518823604074562,""cvar99_mse"":0.06488355249166489,""finite"":true,""foreground_mse"":0.0022290388587862253,""foreground_psnr_db"":26.518823604074562,""interior_hole_fraction"":0.006540934555232525,""n_gaussians"":2000,""outside_coverage_max"":0.0,""outside_max_abs"":0.0,""p99_mse"":0.03543299064040184}",26.518823924835857,0.002229038694153841,"{""boundary_hole_fraction"":0.0,""boundary_mse"":0.0022290388587862253,""boundary_psnr_db"":26.518823604074562,""cvar99_mse"":0.06488355249166489,""finite"":true,""foreground_mse"":0.0022290388587862253,""foreground_psnr_db"":26.518823604074562,""interior_hole_fraction"":0.006540934555232525,""n_gaussians"":2000,""outside_coverage_max"":0.0,""outside_max_abs"":0.0,""p99_mse"":0.03543299064040184}",,0,1.0,0,false,ok,914d88f4f07f55c2f7ba0c473059119c5eb5ed5dfb83febfbe12856373654213,2.475808630006213,2.475808630006213,2101080064
false,"{""config.json"":""cells/coco000000000009_s0_cg_ray/config.json"",""curves.png"":""cells/coco000000000009_s0_cg_ray/curves.png"",""decision"":""decision.json"",""error.png"":""cells/coco000000000009_s0_cg_ray/error.png"",""field.npz"":""cells/coco000000000009_s0_cg_ray/field.npz"",""history.json"":""cells/coco000000000009_s0_cg_ray/history.json"",""input_field.npz"":""cells/coco000000000009_s0_cg_ray/input_field.npz"",""occupancy"":""occupancy.json"",""parent_config.json"":""parents/coco000000000009_s0/config.json"",""parent_field.npz"":""parents/coco000000000009_s0/field.npz"",""parent_history.json"":""parents/coco000000000009_s0/history.json"",""parent_metrics.json"":""parents/coco000000000009_s0/metrics.json"",""parent_optimizer_state.pt"":""parents/coco000000000009_s0/optimizer_state.pt"",""parent_target.npy"":""parents/coco000000000009_s0/target.npy"",""reconstruction.npy"":""cells/coco000000000009_s0_cg_ray/reconstruction.npy"",""reconstruction.png"":""cells/coco000000000009_s0_cg_ray/reconstruction.png"",""request.json"":""cells/coco000000000009_s0_cg_ray/request.json"",""target.png"":""cells/coco000000000009_s0_cg_ray/target.png""}",coco000000000009_s0_cg_ray,0.3811038339990773,false,true,4.76837158203125e-07,"{""basis_apply_calls"":1,""basis_denominator_passes"":1,""basis_diagonal_passes"":0,""basis_transpose_calls"":0,""gaussian_renders"":1,""interpolated_quality_evaluations"":0,""legacy_cg_iterations"":0,""quality_evaluations"":1,""raw_coverage_passes"":1}",9,0,0.19461897015571594,cg_ray,0.9567102193832397,2000,[],cb6ab940dc00cb3a1a3f399120123071f16f8aef32ce249432d6a9a2da0a7af4,coco000000000009_s0,f8372e2088562f4268aec895dec8fe84a47a5da34e623dcff4a4c7fea9b8aee1,284649472,394264576,"{""boundary_hole_fraction"":0.0,""boundary_mse"":0.002236007945612073,""boundary_psnr_db"":26.5052665752562,""cvar99_mse"":0.06523604691028595,""finite"":true,""foreground_mse"":0.002236007945612073,""foreground_psnr_db"":26.5052665752562,""interior_hole_fraction"":0.006540934555232525,""n_gaussians"":2000,""outside_coverage_max"":0.0,""outside_max_abs"":0.0,""p99_mse"":0.03530734032392502}",26.505266778846853,0.002236007840791419,"{""boundary_hole_fraction"":0.0,""boundary_mse"":0.002236007945612073,""boundary_psnr_db"":26.5052665752562,""cvar99_mse"":0.06523604691028595,""finite"":true,""foreground_mse"":0.002236007945612073,""foreground_psnr_db"":26.5052665752562,""interior_hole_fraction"":0.006540934555232525,""n_gaussians"":2000,""outside_coverage_max"":0.0,""outside_max_abs"":0.0,""p99_mse"":0.03530732914805412}",basis_parent_parity_failed,0,0.0,0,false,ok,914d88f4f07f55c2f7ba0c473059119c5eb5ed5dfb83febfbe12856373654213,0.08703828300349414,0.08703828300349414,2101080064
false,"{""config.json"":""cells/coco000000000009_s0_gradient_ray/config.json"",""curves.png"":""cells/coco000000000009_s0_gradient_ray/curves.png"",""decision"":""decision.json"",""error.png"":""cells/coco000000000009_s0_gradient_ray/error.png"",""field.npz"":""cells/coco000000000009_s0_gradient_ray/field.npz"",""history.json"":""cells/coco000000000009_s0_gradient_ray/history.json"",""input_field.npz"":""cells/coco000000000009_s0_gradient_ray/input_field.npz"",""occupancy"":""occupancy.json"",""parent_config.json"":""parents/coco000000000009_s0/config.json"",""parent_field.npz"":""parents/coco000000000009_s0/field.npz"",""parent_history.json"":""parents/coco000000000009_s0/history.json"",""parent_metrics.json"":""parents/coco000000000009_s0/metrics.json"",""parent_optimizer_state.pt"":""parents/coco000000000009_s0/optimizer_state.pt"",""parent_target.npy"":""parents/coco000000000009_s0/target.npy"",""reconstruction.npy"":""cells/coco000000000009_s0_gradient_ray/reconstruction.npy"",""reconstruction.png"":""cells/coco000000000009_s0_gradient_ray/reconstruction.png"",""request.json"":""cells/coco000000000009_s0_gradient_ray/request.json"",""target.png"":""cells/coco000000000009_s0_gradient_ray/target.png""}",coco000000000009_s0_gradient_ray,0.3875659670011373,false,true,4.172325134277344e-07,"{""basis_apply_calls"":1,""basis_denominator_passes"":1,""basis_diagonal_passes"":0,""basis_transpose_calls"":0,""gaussian_renders"":1,""interpolated_quality_evaluations"":0,""legacy_cg_iterations"":0,""quality_evaluations"":1,""raw_coverage_passes"":1}",9,0,0.19461898505687714,gradient_ray,0.956710159778595,2000,[],cb6ab940dc00cb3a1a3f399120123071f16f8aef32ce249432d6a9a2da0a7af4,coco000000000009_s0,f8372e2088562f4268aec895dec8fe84a47a5da34e623dcff4a4c7fea9b8aee1,284649472,394264576,"{""boundary_hole_fraction"":0.0,""boundary_mse"":0.002236007945612073,""boundary_psnr_db"":26.5052665752562,""cvar99_mse"":0.06523604691028595,""finite"":true,""foreground_mse"":0.002236007945612073,""foreground_psnr_db"":26.5052665752562,""interior_hole_fraction"":0.006540934555232525,""n_gaussians"":2000,""outside_coverage_max"":0.0,""outside_max_abs"":0.0,""p99_mse"":0.035307321697473526}",26.505266777512784,0.002236007841478278,"{""boundary_hole_fraction"":0.0,""boundary_mse"":0.002236007945612073,""boundary_psnr_db"":26.5052665752562,""cvar99_mse"":0.06523604691028595,""finite"":true,""foreground_mse"":0.002236007945612073,""foreground_psnr_db"":26.5052665752562,""interior_hole_fraction"":0.006540934555232525,""n_gaussians"":2000,""outside_coverage_max"":0.0,""outside_max_abs"":0.0,""p99_mse"":0.03530733659863472}",basis_parent_parity_failed,0,0.0,0,false,ok,914d88f4f07f55c2f7ba0c473059119c5eb5ed5dfb83febfbe12856373654213,0.08710133499698713,0.08710133499698713,2101080064
false,"{""config.json"":""cells/coco000000000009_s0_jacobi_ray/config.json"",""curves.png"":""cells/coco000000000009_s0_jacobi_ray/curves.png"",""decision"":""decision.json"",""error.png"":""cells/coco000000000009_s0_jacobi_ray/error.png"",""field.npz"":""cells/coco000000000009_s0_jacobi_ray/field.npz"",""history.json"":""cells/coco000000000009_s0_jacobi_ray/history.json"",""input_field.npz"":""cells/coco000000000009_s0_jacobi_ray/input_field.npz"",""occupancy"":""occupancy.json"",""parent_config.json"":""parents/coco000000000009_s0/config.json"",""parent_field.npz"":""parents/coco000000000009_s0/field.npz"",""parent_history.json"":""parents/coco000000000009_s0/history.json"",""parent_metrics.json"":""parents/coco000000000009_s0/metrics.json"",""parent_optimizer_state.pt"":""parents/coco000000000009_s0/optimizer_state.pt"",""parent_target.npy"":""parents/coco000000000009_s0/target.npy"",""reconstruction.npy"":""cells/coco000000000009_s0_jacobi_ray/reconstruction.npy"",""reconstruction.png"":""cells/coco000000000009_s0_jacobi_ray/reconstruction.png"",""request.json"":""cells/coco000000000009_s0_jacobi_ray/request.json"",""target.png"":""cells/coco000000000009_s0_jacobi_ray/target.png""}",coco000000000009_s0_jacobi_ray,0.381824151998444,false,true,4.76837158203125e-07,"{""basis_apply_calls"":1,""basis_denominator_passes"":1,""basis_diagonal_passes"":0,""basis_transpose_calls"":0,""gaussian_renders"":1,""interpolated_quality_evaluations"":0,""legacy_cg_iterations"":0,""quality_evaluations"":1,""raw_coverage_passes"":1}",9,0,0.19461876153945923,jacobi_ray,0.9567102193832397,2000,[],cb6ab940dc00cb3a1a3f399120123071f16f8aef32ce249432d6a9a2da0a7af4,coco000000000009_s0,f8372e2088562f4268aec895dec8fe84a47a5da34e623dcff4a4c7fea9b8aee1,284649472,394264576,"{""boundary_hole_fraction"":0.0,""boundary_mse"":0.002236007945612073,""boundary_psnr_db"":26.5052665752562,""cvar99_mse"":0.06523604691028595,""finite"":true,""foreground_mse"":0.002236007945612073,""foreground_psnr_db"":26.5052665752562,""interior_hole_fraction"":0.006540934555232525,""n_gaussians"":2000,""outside_coverage_max"":0.0,""outside_max_abs"":0.0,""p99_mse"":0.03530733659863472}",26.505266784615085,0.0022360078378215885,"{""boundary_hole_fraction"":0.0,""boundary_mse"":0.002236007945612073,""boundary_psnr_db"":26.5052665752562,""cvar99_mse"":0.06523604691028595,""finite"":true,""foreground_mse"":0.002236007945612073,""foreground_psnr_db"":26.5052665752562,""interior_hole_fraction"":0.006540934555232525,""n_gaussians"":2000,""outside_coverage_max"":0.0,""outside_max_abs"":0.0,""p99_mse"":0.03530733659863472}",basis_parent_parity_failed,0,0.0,0,false,ok,914d88f4f07f55c2f7ba0c473059119c5eb5ed5dfb83febfbe12856373654213,0.08718779300397728,0.08718779300397728,2101080064
true,"{""config.json"":""cells/coco000000000009_s0_adam32/config.json"",""curves.png"":""cells/coco000000000009_s0_adam32/curves.png"",""decision"":""decision.json"",""error.png"":""cells/coco000000000009_s0_adam32/error.png"",""field.npz"":""cells/coco000000000009_s0_adam32/field.npz"",""history.json"":""cells/coco000000000009_s0_adam32/history.json"",""input_field.npz"":""cells/coco000000000009_s0_adam32/input_field.npz"",""occupancy"":""occupancy.json"",""parent_config.json"":""parents/coco000000000009_s0/config.json"",""parent_field.npz"":""parents/coco000000000009_s0/field.npz"",""parent_history.json"":""parents/coco000000000009_s0/history.json"",""parent_metrics.json"":""parents/coco000000000009_s0/metrics.json"",""parent_optimizer_state.pt"":""parents/coco000000000009_s0/optimizer_state.pt"",""parent_target.npy"":""parents/coco000000000009_s0/target.npy"",""reconstruction.npy"":""cells/coco000000000009_s0_adam32/reconstruction.npy"",""reconstruction.png"":""cells/coco000000000009_s0_adam32/reconstruction.png"",""request.json"":""cells/coco000000000009_s0_adam32/request.json"",""target.png"":""cells/coco000000000009_s0_adam32/target.png""}",coco000000000009_s0_adam32,0.47402832099760417,true,true,4.76837158203125e-07,"{""basis_apply_calls"":0,""basis_denominator_passes"":0,""basis_transpose_calls"":0,""gaussian_renders"":35,""gradient_evaluations"":32,""quality_evaluations"":2,""raw_coverage_passes"":2}",9,32,0.19339653849601746,adam32,0.9569035172462463,2000,"[""means"",""log_scales"",""rotations""]",cb6ab940dc00cb3a1a3f399120123071f16f8aef32ce249432d6a9a2da0a7af4,coco000000000009_s0,f8372e2088562f4268aec895dec8fe84a47a5da34e623dcff4a4c7fea9b8aee1,263001088,394264576,"{""boundary_hole_fraction"":0.0,""boundary_mse"":0.0022245212458074093,""boundary_psnr_db"":26.527634420656966,""cvar99_mse"":0.06488037109375,""finite"":true,""foreground_mse"":0.0022245212458074093,""foreground_psnr_db"":26.527634420656966,""interior_hole_fraction"":0.00640869140625,""n_gaussians"":2000,""outside_coverage_max"":0.0,""outside_max_abs"":0.0,""p99_mse"":0.03504476696252823}",26.52763442126208,0.0022245212454974615,"{""boundary_hole_fraction"":0.0,""boundary_mse"":0.0022245212458074093,""boundary_psnr_db"":26.527634420656966,""cvar99_mse"":0.06488037109375,""finite"":true,""foreground_mse"":0.0022245212458074093,""foreground_psnr_db"":26.527634420656966,""interior_hole_fraction"":0.00640869140625,""n_gaussians"":2000,""outside_coverage_max"":0.0,""outside_max_abs"":0.0,""p99_mse"":0.03504476696252823}",,0,1.0,32,false,ok,914d88f4f07f55c2f7ba0c473059119c5eb5ed5dfb83febfbe12856373654213,0.17360510499565862,0.17360510499565862,2101080064
false,"{""config.json"":""cells/coco000000000009_s1_legacy_cg32/config.json"",""curves.png"":""cells/coco000000000009_s1_legacy_cg32/curves.png"",""decision"":""decision.json"",""error.png"":""cells/coco000000000009_s1_legacy_cg32/error.png"",""field.npz"":""cells/coco000000000009_s1_legacy_cg32/field.npz"",""history.json"":""cells/coco000000000009_s1_legacy_cg32/history.json"",""input_field.npz"":""cells/coco000000000009_s1_legacy_cg32/input_field.npz"",""occupancy"":""occupancy.json"",""parent_config.json"":""parents/coco000000000009_s1/config.json"",""parent_field.npz"":""parents/coco000000000009_s1/field.npz"",""parent_history.json"":""parents/coco000000000009_s1/history.json"",""parent_metrics.json"":""parents/coco000000000009_s1/metrics.json"",""parent_optimizer_state.pt"":""parents/coco000000000009_s1/optimizer_state.pt"",""parent_target.npy"":""parents/coco000000000009_s1/target.npy"",""reconstruction.npy"":""cells/coco000000000009_s1_legacy_cg32/reconstruction.npy"",""reconstruction.png"":""cells/coco000000000009_s1_legacy_cg32/reconstruction.png"",""request.json"":""cells/coco000000000009_s1_legacy_cg32/request.json"",""target.png"":""cells/coco000000000009_s1_legacy_cg32/target.png""}",coco000000000009_s1_legacy_cg32,3.404607380995003,false,true,4.172325134277344e-07,"{""basis_apply_calls"":33,""basis_denominator_passes"":1,""basis_transpose_calls"":34,""gaussian_renders"":2,""gradient_evaluations"":0,""quality_evaluations"":2,""raw_coverage_passes"":2}",9,0,0.19982120394706726,legacy_cg32,0.9565301537513733,2000,[],4cf04cf51a886ae45815d2c35ed3feb0e73c6c10a22dd7fdef627e928741ca0e,coco000000000009_s1,507b5200309db0ef22bd936f49ae1ee5d4bfbd2f852282a03a133e662d99580e,280332288,373293056,"{""boundary_hole_fraction"":0.0,""boundary_mse"":0.002253203885629773,""boundary_psnr_db"":26.47199508499125,""cvar99_mse"":0.06704747676849365,""finite"":true,""foreground_mse"":0.002253203885629773,""foreground_psnr_db"":26.47199508499125,""interior_hole_fraction"":0.0039723715744912624,""n_gaussians"":2000,""outside_coverage_max"":0.0,""outside_max_abs"":0.0,""p99_mse"":0.03542652353644371}",26.47199546808701,0.0022532036868722826,"{""boundary_hole_fraction"":0.0,""boundary_mse"":0.002253203885629773,""boundary_psnr_db"":26.47199508499125,""cvar99_mse"":0.06704747676849365,""finite"":true,""foreground_mse"":0.002253203885629773,""foreground_psnr_db"":26.47199508499125,""interior_hole_fraction"":0.0039723715744912624,""n_gaussians"":2000,""outside_coverage_max"":0.0,""outside_max_abs"":0.0,""p99_mse"":0.03542652726173401}",candidate_rejected,1,0.0,0,false,ok,914d88f4f07f55c2f7ba0c473059119c5eb5ed5dfb83febfbe12856373654213,2.8920707069992204,2.8920707069992204,2084585472
false,"{""config.json"":""cells/coco000000000009_s1_cg_ray/config.json"",""curves.png"":""cells/coco000000000009_s1_cg_ray/curves.png"",""decision"":""decision.json"",""error.png"":""cells/coco000000000009_s1_cg_ray/error.png"",""field.npz"":""cells/coco000000000009_s1_cg_ray/field.npz"",""history.json"":""cells/coco000000000009_s1_cg_ray/history.json"",""input_field.npz"":""cells/coco000000000009_s1_cg_ray/input_field.npz"",""occupancy"":""occupancy.json"",""parent_config.json"":""parents/coco000000000009_s1/config.json"",""parent_field.npz"":""parents/coco000000000009_s1/field.npz"",""parent_history.json"":""parents/coco000000000009_s1/history.json"",""parent_metrics.json"":""parents/coco000000000009_s1/metrics.json"",""parent_optimizer_state.pt"":""parents/coco000000000009_s1/optimizer_state.pt"",""parent_target.npy"":""parents/coco000000000009_s1/target.npy"",""reconstruction.npy"":""cells/coco000000000009_s1_cg_ray/reconstruction.npy"",""reconstruction.png"":""cells/coco000000000009_s1_cg_ray/reconstruction.png"",""request.json"":""cells/coco000000000009_s1_cg_ray/request.json"",""target.png"":""cells/coco000000000009_s1_cg_ray/target.png""}",coco000000000009_s1_cg_ray,0.411066695000045,false,true,4.76837158203125e-07,"{""basis_apply_calls"":1,""basis_denominator_passes"":1,""basis_diagonal_passes"":0,""basis_transpose_calls"":0,""gaussian_renders"":1,""interpolated_quality_evaluations"":0,""legacy_cg_iterations"":0,""quality_evaluations"":1,""raw_coverage_passes"":1}",9,0,0.1998206377029419,cg_ray,0.9565302729606628,2000,[],4cf04cf51a886ae45815d2c35ed3feb0e73c6c10a22dd7fdef627e928741ca0e,coco000000000009_s1,507b5200309db0ef22bd936f49ae1ee5d4bfbd2f852282a03a133e662d99580e,285007872,377487360,"{""boundary_hole_fraction"":0.0,""boundary_mse"":0.002253203885629773,""boundary_psnr_db"":26.47199508499125,""cvar99_mse"":0.06704747676849365,""finite"":true,""foreground_mse"":0.002253203885629773,""foreground_psnr_db"":26.47199508499125,""interior_hole_fraction"":0.0039723715744912624,""n_gaussians"":2000,""outside_coverage_max"":0.0,""outside_max_abs"":0.0,""p99_mse"":0.03542652353644371}",26.471995460244386,0.0022532036909411867,"{""boundary_hole_fraction"":0.0,""boundary_mse"":0.002253203885629773,""boundary_psnr_db"":26.47199508499125,""cvar99_mse"":0.06704747676849365,""finite"":true,""foreground_mse"":0.002253203885629773,""foreground_psnr_db"":26.47199508499125,""interior_hole_fraction"":0.0039723715744912624,""n_gaussians"":2000,""outside_coverage_max"":0.0,""outside_max_abs"":0.0,""p99_mse"":0.03542653098702431}",basis_parent_parity_failed,1,0.0,0,false,ok,914d88f4f07f55c2f7ba0c473059119c5eb5ed5dfb83febfbe12856373654213,0.10025922599743353,0.10025922599743353,2084585472
false,"{""config.json"":""cells/coco000000000009_s1_gradient_ray/config.json"",""curves.png"":""cells/coco000000000009_s1_gradient_ray/curves.png"",""decision"":""decision.json"",""error.png"":""cells/coco000000000009_s1_gradient_ray/error.png"",""field.npz"":""cells/coco000000000009_s1_gradient_ray/field.npz"",""history.json"":""cells/coco000000000009_s1_gradient_ray/history.json"",""input_field.npz"":""cells/coco000000000009_s1_gradient_ray/input_field.npz"",""occupancy"":""occupancy.json"",""parent_config.json"":""parents/coco000000000009_s1/config.json"",""parent_field.npz"":""parents/coco000000000009_s1/field.npz"",""parent_history.json"":""parents/coco000000000009_s1/history.json"",""parent_metrics.json"":""parents/coco000000000009_s1/metrics.json"",""parent_optimizer_state.pt"":""parents/coco000000000009_s1/optimizer_state.pt"",""parent_target.npy"":""parents/coco000000000009_s1/target.npy"",""reconstruction.npy"":""cells/coco000000000009_s1_gradient_ray/reconstruction.npy"",""reconstruction.png"":""cells/coco000000000009_s1_gradient_ray/reconstruction.png"",""request.json"":""cells/coco000000000009_s1_gradient_ray/request.json"",""target.png"":""cells/coco000000000009_s1_gradient_ray/target.png""}",coco000000000009_s1_gradient_ray,0.4076312670003972,false,true,4.172325134277344e-07,"{""basis_apply_calls"":1,""basis_denominator_passes"":1,""basis_diagonal_passes"":0,""basis_transpose_calls"":0,""gaussian_renders"":1,""interpolated_quality_evaluations"":0,""legacy_cg_iterations"":0,""quality_evaluations"":1,""raw_coverage_passes"":1}",9,0,0.19982078671455383,gradient_ray,0.9565302133560181,2000,[],4cf04cf51a886ae45815d2c35ed3feb0e73c6c10a22dd7fdef627e928741ca0e,coco000000000009_s1,507b5200309db0ef22bd936f49ae1ee5d4bfbd2f852282a03a133e662d99580e,285007872,377487360,"{""boundary_hole_fraction"":0.0,""boundary_mse"":0.002253203885629773,""boundary_psnr_db"":26.47199508499125,""cvar99_mse"":0.06704747676849365,""finite"":true,""foreground_mse"":0.002253203885629773,""foreground_psnr_db"":26.47199508499125,""interior_hole_fraction"":0.0039723715744912624,""n_gaussians"":2000,""outside_coverage_max"":0.0,""outside_max_abs"":0.0,""p99_mse"":0.03542651608586311}",26.471995466793416,0.0022532036875434255,"{""boundary_hole_fraction"":0.0,""boundary_mse"":0.002253203885629773,""boundary_psnr_db"":26.47199508499125,""cvar99_mse"":0.06704747676849365,""finite"":true,""foreground_mse"":0.002253203885629773,""foreground_psnr_db"":26.47199508499125,""interior_hole_fraction"":0.0039723715744912624,""n_gaussians"":2000,""outside_coverage_max"":0.0,""outside_max_abs"":0.0,""p99_mse"":0.03542652353644371}",basis_parent_parity_failed,1,0.0,0,false,ok,914d88f4f07f55c2f7ba0c473059119c5eb5ed5dfb83febfbe12856373654213,0.10028759100532625,0.10028759100532625,2084585472
false,"{""config.json"":""cells/coco000000000009_s1_jacobi_ray/config.json"",""curves.png"":""cells/coco000000000009_s1_jacobi_ray/curves.png"",""decision"":""decision.json"",""error.png"":""cells/coco000000000009_s1_jacobi_ray/error.png"",""field.npz"":""cells/coco000000000009_s1_jacobi_ray/field.npz"",""history.json"":""cells/coco000000000009_s1_jacobi_ray/history.json"",""input_field.npz"":""cells/coco000000000009_s1_jacobi_ray/input_field.npz"",""occupancy"":""occupancy.json"",""parent_config.json"":""parents/coco000000000009_s1/config.json"",""parent_field.npz"":""parents/coco000000000009_s1/field.npz"",""parent_history.json"":""parents/coco000000000009_s1/history.json"",""parent_metrics.json"":""parents/coco000000000009_s1/metrics.json"",""parent_optimizer_state.pt"":""parents/coco000000000009_s1/optimizer_state.pt"",""parent_target.npy"":""parents/coco000000000009_s1/target.npy"",""reconstruction.npy"":""cells/coco000000000009_s1_jacobi_ray/reconstruction.npy"",""reconstruction.png"":""cells/coco000000000009_s1_jacobi_ray/reconstruction.png"",""request.json"":""cells/coco000000000009_s1_jacobi_ray/request.json"",""target.png"":""cells/coco000000000009_s1_jacobi_ray/target.png""}",coco000000000009_s1_jacobi_ray,0.4061288049997529,false,true,5.364418029785156e-07,"{""basis_apply_calls"":1,""basis_denominator_passes"":1,""basis_diagonal_passes"":0,""basis_transpose_calls"":0,""gaussian_renders"":1,""interpolated_quality_evaluations"":0,""legacy_cg_iterations"":0,""quality_evaluations"":1,""raw_coverage_passes"":1}",9,0,0.19982025027275085,jacobi_ray,0.9565302133560181,2000,[],4cf04cf51a886ae45815d2c35ed3feb0e73c6c10a22dd7fdef627e928741ca0e,coco000000000009_s1,507b5200309db0ef22bd936f49ae1ee5d4bfbd2f852282a03a133e662d99580e,285007872,377487360,"{""boundary_hole_fraction"":0.0,""boundary_mse"":0.002253203885629773,""boundary_psnr_db"":26.47199508499125,""cvar99_mse"":0.06704747676849365,""finite"":true,""foreground_mse"":0.002253203885629773,""foreground_psnr_db"":26.47199508499125,""interior_hole_fraction"":0.0039723715744912624,""n_gaussians"":2000,""outside_coverage_max"":0.0,""outside_max_abs"":0.0,""p99_mse"":0.035426512360572815}",26.471995461939706,0.002253203690061621,"{""boundary_hole_fraction"":0.0,""boundary_mse"":0.0022532036527991295,""boundary_psnr_db"":26.47199553376142,""cvar99_mse"":0.06704747676849365,""finite"":true,""foreground_mse"":0.0022532036527991295,""foreground_psnr_db"":26.47199553376142,""interior_hole_fraction"":0.0039723715744912624,""n_gaussians"":2000,""outside_coverage_max"":0.0,""outside_max_abs"":0.0,""p99_mse"":0.03542651608586311}",basis_parent_parity_failed,1,0.0,0,false,ok,914d88f4f07f55c2f7ba0c473059119c5eb5ed5dfb83febfbe12856373654213,0.10020562399586197,0.10020562399586197,2084585472
